"","CASE#","PRIMARY DESCRIPTION","ARREST","LATITUDE","LONGITUDE"
"389","JE154928","HOMICIDE","N",41.906298225,-87.773078049
"390","JE287680","HOMICIDE","N",41.858875885,-87.724228931
"391","JE224429","HOMICIDE","Y",41.791458525,-87.647515317
"392","JE194870","HOMICIDE","N",41.826358446,-87.633116323
"393","JE177954","HOMICIDE","N",41.762385599,-87.666177499
"394","JE241639","HOMICIDE","N",41.874699955,-87.683791888
"395","JE240540","HOMICIDE","N",41.917838056,-87.755968972
"396","JE178376","HOMICIDE","N",41.740486959,-87.648607569
"397","JD379655","HOMICIDE","Y",41.884747682,-87.75645061
"398","JD358144","HOMICIDE","N",41.864278228,-87.659660218
"399","JE209297","HOMICIDE","N",41.90086502,-87.724112886
"400","JE208468","HOMICIDE","N",41.879784857,-87.723806409
"401","JE210069","HOMICIDE","N",41.707359384,-87.610809656
"402","JE240575","HOMICIDE","N",41.884530833,-87.738685729
"403","JE178971","HOMICIDE","N",41.75667207,-87.562688288
"404","JE226157","HOMICIDE","N",41.894264459,-87.753129146
"405","JE287914","HOMICIDE","N",41.759293313,-87.643041842
"406","JD304271","HOMICIDE","N",41.888060953,-87.681724797
"407","JD304906","HOMICIDE","N",41.878030124,-87.721524427
"408","JE164965","HOMICIDE","Y",41.827094923,-87.62167185
"409","JE210794","HOMICIDE","N",41.825085871,-87.621631728
"410","JD304542","HOMICIDE","N",41.654094008,-87.606801963
"411","JE271002","HOMICIDE","N",41.795209941,-87.660974432
"412","JE156432","HOMICIDE","Y",41.663403306,-87.625793875
"413","JE179906","HOMICIDE","N",41.749995382,-87.685900777
"414","JD440137","HOMICIDE","Y",41.751452878,-87.624567581
"415","JE180555","HOMICIDE","N",41.68075847,-87.621785651
"416","JE242183","HOMICIDE","N",41.758273773,-87.554811094
"417","JE270867","HOMICIDE","N",41.779196943,-87.615602304
"418","JD430446","HOMICIDE","Y",41.786456541,-87.629058932
"419","JE227075","HOMICIDE","N",41.991057238,-87.699420817
"420","JE212290","HOMICIDE","N",41.740861086,-87.740060732
"421","JE212327","HOMICIDE","N",41.742813094,-87.647512893
"422","JE227114","HOMICIDE","N",41.857180265,-87.711995618
"423","JE241847","HOMICIDE","N",41.869565231,-87.743241256
"424","JE211329","HOMICIDE","N",41.809523402,-87.63826257
"425","JE190465","HOMICIDE","Y",41.782601671,-87.665505994
"426","JD464968","HOMICIDE","Y",41.900253905,-87.690541532
"427","JE182440","HOMICIDE","N",41.915479464,-87.715641007
"428","JE182514","HOMICIDE","N",41.677325876,-87.616577916
"429","JE227631","HOMICIDE","N",41.88100737,-87.703205068
"430","JE243607","HOMICIDE","N",41.756618673,-87.574871497
"431","JE301858","HOMICIDE","N",41.861791657,-87.721389237
"432","JE302365","HOMICIDE","N",41.753407263,-87.674439456
"433","JE181828","HOMICIDE","Y",41.707455731,-87.605637491
"434","JE195766","HOMICIDE","N",41.84894297,-87.733341125
"435","JE190306","HOMICIDE","Y",41.675219383,-87.638212387
"436","JE195887","HOMICIDE","N",41.772924892,-87.57647941
"437","JE289090","HOMICIDE","N",41.876024394,-87.692400002
"438","JD335093","HOMICIDE","N",41.847074361,-87.711205225
"439","JE287173","HOMICIDE","Y",41.81788468,-87.619825842
"440","JE229283","HOMICIDE","N",41.807577988,-87.615549695
"441","JE289027","HOMICIDE","N",41.781275961,-87.613225264
"442","JE229019","HOMICIDE","N",41.751268534,-87.606048047
"443","JE288866","HOMICIDE","N",41.816683943,-87.743385779
"444","JE288138","HOMICIDE","N",41.851395612,-87.734779046
"445","JE161149","HOMICIDE","N",41.79841494,-87.700032005
"446","JD359870","HOMICIDE","Y",41.903944085,-87.719480769
"447","JE177040","HOMICIDE","Y",41.862819868,-87.718141518
"448","JE244264","HOMICIDE","N",41.758896441,-87.574456169
"449","JE272404","HOMICIDE","N",41.902814352,-87.708453036
"450","JE259126","HOMICIDE","N",41.742921834,-87.674539337
"451","JE259510","HOMICIDE","N",41.751535302,-87.663464341
"452","JE197584","HOMICIDE","N",41.801416311,-87.619388748
"453","JE259268","HOMICIDE","N",41.882327675,-87.698778086
"454","JD393309","HOMICIDE","Y",41.763335387,-87.61523662
"455","JE197974","HOMICIDE","N",41.669920375,-87.559258528
"456","JE229957","HOMICIDE","N",41.749869687,-87.665852691
"457","JE272197","HOMICIDE","Y",41.910077354,-87.709785601
"458","JD466325","HOMICIDE","Y",41.894591453,-87.719944973
"459","JD306169","HOMICIDE","N",41.940419827,-87.765226189
"460","JE198622","HOMICIDE","N",41.738324952,-87.614980373
"461","JE272078","HOMICIDE","Y",41.876615415,-87.636504247
"462","JE288009","HOMICIDE","N",41.921327818,-87.758524333
"463","JE266473","HOMICIDE","N",41.780850996,-87.649674221
"464","JE245666","HOMICIDE","N",41.743970443,-87.585797123
"465","JE230612","HOMICIDE","N",41.751644163,-87.658618398
"466","JD336779","HOMICIDE","Y",41.724494263,-87.643297231
"467","JE230631","HOMICIDE","N",41.874850606,-87.735272577
"468","JE230500","HOMICIDE","N",41.931063831,-87.781350681
"469","JE231076","HOMICIDE","N",41.775070039,-87.594044066
"470","JE230612","HOMICIDE","N",41.751644163,-87.658618398
"471","JE227034","HOMICIDE","N",41.737081272,-87.624176033
"472","JE189401","HOMICIDE","Y",41.945219715,-87.776479414
"473","JE198861","HOMICIDE","N",41.760798006,-87.634551594
"474","JE199483","HOMICIDE","N",41.861847377,-87.712849844
"475","JE198861","HOMICIDE","N",41.760798006,-87.634551594
"476","JE260467","HOMICIDE","N",41.897156398,-87.729088417
"477","JE246853","HOMICIDE","N",41.858213965,-87.704772409
"478","JD302966","HOMICIDE","Y",41.79816307,-87.74291021
"479","JE199141","HOMICIDE","Y",41.919794616,-87.771442491
"480","JE289727","HOMICIDE","N",41.858449995,-87.710316759
"481","JE290198","HOMICIDE","Y",41.881057028,-87.769788016
"482","JE286402","HOMICIDE","N",41.805710847,-87.618464458
"483","JE289415","HOMICIDE","N",41.903838027,-87.635561788
"484","JD409259","HOMICIDE","Y",41.905231197,-87.725166092
"485","JE260911","HOMICIDE","N",41.866742491,-87.727638357
"486","JE260979","HOMICIDE","N",41.776421364,-87.682210861
"487","JE272743","HOMICIDE","N",41.920988379,-87.685490567
"488","JE251462","HOMICIDE","Y",41.806744563,-87.669062595
"489","JE272241","HOMICIDE","N",41.906364582,-87.646338314
"490","JE247247","HOMICIDE","N",41.918153458,-87.720457916
"491","JE272657","HOMICIDE","N",41.899207928,-87.705343948
"492","JE156133","HOMICIDE","N",41.738314597,-87.615519096
"493","JD305672","HOMICIDE","N",41.673548279,-87.616795523
"494","JE216512","HOMICIDE","N",41.678949434,-87.623921422
"495","JE215628","HOMICIDE","N",41.843693383,-87.708668972
"496","JE216511","HOMICIDE","N",41.791571822,-87.649949018
"497","JD422229","HOMICIDE","N",41.888335787,-87.752911026
"498","JE272719","HOMICIDE","N",41.756040473,-87.613829953
"499","JE290325","HOMICIDE","N",41.783051325,-87.623779709
"500","JD472075","HOMICIDE","Y",41.742292072,-87.641172
"501","JE262633","HOMICIDE","N",41.807716063,-87.689307003
"502","JE216669","HOMICIDE","N",41.85982778,-87.716448529
"503","JE262115","HOMICIDE","N",41.869645028,-87.72023125
"504","JE261513","HOMICIDE","N",41.670107447,-87.639248298
"505","JE258289","HOMICIDE","N",41.825008437,-87.63269443
"506","JE249189","HOMICIDE","N",41.894548755,-87.708967018
"507","JE290325","HOMICIDE","N",41.783051325,-87.623779709
"508","JE274427","HOMICIDE","N",41.885451698,-87.7120229
"509","JE274850","HOMICIDE","N",41.704565596,-87.63431487
"510","JE274914","HOMICIDE","N",41.799074355,-87.633483109
"511","JE274935","HOMICIDE","N",41.67865949,-87.620527559
"512","JE274634","HOMICIDE","N",41.779623837,-87.594629708
"513","JE273984","HOMICIDE","Y",41.858434376,-87.734728096
"514","JD422430","HOMICIDE","N",41.772171112,-87.665592205
"515","JE291188","HOMICIDE","N",41.737259842,-87.650946468
"516","JE263349","HOMICIDE","N",41.874188446,-87.633622585
"517","JE289771","HOMICIDE","N",41.759162013,-87.683100073
"518","JE290653","HOMICIDE","N",41.84443756,-87.710779354
"519","JD422410","HOMICIDE","N",41.769591156,-87.671227605
"520","JD336194","HOMICIDE","N",41.912218383,-87.764319045
"521","JD332746","HOMICIDE","N",41.857034887,-87.725340291
"522","JE232513","HOMICIDE","N",41.778435506,-87.686065751
"523","JE290388","HOMICIDE","N",41.856326422,-87.732556325
"524","JE262851","HOMICIDE","N",41.758361509,-87.617681742
"525","JD307079","HOMICIDE","N",41.875291694,-87.723650826
"526","JD307805","HOMICIDE","N",41.675365264,-87.617273188
"527","JE276134","HOMICIDE","N",41.67986213,-87.621956595
"528","JE272404","HOMICIDE","N",41.902814352,-87.708453036
"529","JD306704","HOMICIDE","N",41.773294408,-87.590204175
"530","JD307805","HOMICIDE","N",41.675365264,-87.617273188
"531","JE250398","HOMICIDE","N",41.884154496,-87.672833401
"532","JE291491","HOMICIDE","N",41.787458975,-87.619844306
"533","JE250309","HOMICIDE","N",41.810586428,-87.619628064
"534","JD423602","HOMICIDE","Y",41.899437761,-87.762518782
"535","JD423611","HOMICIDE","N",41.763455518,-87.573332145
"536","JE265873","HOMICIDE","N",41.884926809,-87.752787642
"537","JE276391","HOMICIDE","N",41.824588446,-87.631326836
"538","JD451003","HOMICIDE","Y",41.897113439,-87.6597156
"539","JE265137","HOMICIDE","Y",41.774901923,-87.628422811
"540","JE293873","HOMICIDE","N",41.86351771,-87.717778727
"541","JE266324","HOMICIDE","N",41.798986504,-87.641633145
"542","JE265614","HOMICIDE","N",41.692511434,-87.629194952
"543","JE292962","HOMICIDE","N",41.863914615,-87.716567106
"544","JE292814","HOMICIDE","N",41.673665074,-87.600930372
"545","JE264556","HOMICIDE","N",41.899891919,-87.74591908
"546","JD307901","HOMICIDE","Y",41.897373941,-87.748311296
"547","JD307899","HOMICIDE","N",41.954075613,-87.747318796
"548","JD299102","HOMICIDE","Y",41.69994781,-87.617963597
"549","JE233110","HOMICIDE","Y",41.886853702,-87.696437999
"550","JE233523","HOMICIDE","N",41.671903369,-87.641710641
"551","JE266473","HOMICIDE","N",41.780850996,-87.649674221
"552","JE266473","HOMICIDE","N",41.780850996,-87.649674221
"553","JE267494","HOMICIDE","N",41.798854705,-87.685390881
"554","JE266473","HOMICIDE","N",41.780850996,-87.649674221
"555","JE266388","HOMICIDE","N",41.902640036,-87.624562043
"556","JE267498","HOMICIDE","N",41.872588258,-87.721521251
"557","JD371629","HOMICIDE","N",41.741944792,-87.553942091
"558","JD358974","HOMICIDE","Y",41.822245225,-87.690948128
"559","JE277577","HOMICIDE","N",41.79893103,-87.675642021
"560","JE277448","HOMICIDE","N",41.739349342,-87.69407965
"561","JE266473","HOMICIDE","N",41.780850996,-87.649674221
"562","JE293710","HOMICIDE","N",41.874959427,-87.746257594
"563","JE294662","HOMICIDE","N",41.823175752,-87.633224378
"564","JD309011","HOMICIDE","Y",41.75540448,-87.551356727
"565","JD382095","HOMICIDE","Y",41.767537472,-87.571440144
"566","JD371894","HOMICIDE","N",41.889013548,-87.768862373
"567","JE294221","HOMICIDE","N",41.880951703,-87.771815967
"568","JE270685","HOMICIDE","N",41.749956477,-87.694146665
"569","JE279325","HOMICIDE","Y",41.951879543,-87.807235503
"570","JD334174","HOMICIDE","Y",41.939205595,-87.718113566
"571","JD423568","HOMICIDE","N",41.892831474,-87.773485904
"572","JD424303","HOMICIDE","N",42.016113932,-87.687517771
"573","JE279833","HOMICIDE","N",41.901141788,-87.692773339
"574","JD310803","HOMICIDE","Y",41.819189282,-87.627104546
"575","JE279849","HOMICIDE","N",41.995219444,-87.713354912
"576","JE279836","HOMICIDE","Y",41.751254843,-87.606920408
"577","JE279786","HOMICIDE","N",41.782546783,-87.640937231
"578","JE295698","HOMICIDE","N",41.773888476,-87.636840097
"579","JE296062","HOMICIDE","N",41.693588725,-87.612179395
"580","JE296143","HOMICIDE","N",41.748867896,-87.64079354
"581","JE295976","HOMICIDE","N",41.678626168,-87.622680365
"582","JE121584","HOMICIDE","Y",41.74962816,-87.665847864
"583","JE242582","HOMICIDE","Y",41.937005129,-87.657653071
"584","JE296903","HOMICIDE","N",41.761841368,-87.590882475
"585","JE296952","HOMICIDE","N",41.782432685,-87.664290466
"586","JD312037","HOMICIDE","N",41.726591198,-87.606399702
"587","JE281674","HOMICIDE","N",41.891060252,-87.768759881
"588","JE261650","HOMICIDE","Y",41.75702248,-87.558073456
"589","JE297155","HOMICIDE","Y",41.856575175,-87.668620597
"590","JD311203","HOMICIDE","N",41.737547633,-87.604847215
"591","JE297299","HOMICIDE","N",41.842582305,-87.694759669
"592","JE296818","HOMICIDE","N",41.717572389,-87.569854879
"593","JE296952","HOMICIDE","N",41.782432685,-87.664290466
"594","JD339269","HOMICIDE","Y",41.771996408,-87.680074393
"595","JD339602","HOMICIDE","N",41.891173111,-87.758320983
"596","JD312455","HOMICIDE","N",41.869565495,-87.743292654
"597","JE249497","HOMICIDE","N",41.807856992,-87.658872511
"598","JE297567","HOMICIDE","N",41.852766136,-87.694243614
"599","JE144478","HOMICIDE","Y",41.695439061,-87.662589442
"600","JE281738","HOMICIDE","N",41.766254751,-87.574585728
"601","JE298035","HOMICIDE","N",41.737367232,-87.64000479
"602","JE297553","HOMICIDE","N",41.852726166,-87.683210411
"603","JE298240","HOMICIDE","N",41.766090009,-87.574573007
"604","JE281658","HOMICIDE","N",41.871732109,-87.71844893
"605","JD312466","HOMICIDE","N",41.874189322,-87.738458484
"606","JD372631","HOMICIDE","N",41.865669877,-87.721499106
"607","JE299507","HOMICIDE","N",41.784275014,-87.654620779
"608","JD403502","HOMICIDE","Y",41.89831824,-87.705242471
"609","JD331615","HOMICIDE","Y",41.696827166,-87.649001304
"610","JD314196","HOMICIDE","N",41.747528541,-87.573472386
"611","JD372683","HOMICIDE","N",41.769301757,-87.682051919
"612","JD264472","HOMICIDE","N",41.770020864,-87.6913338
"613","JD340917","HOMICIDE","N",41.740514279,-87.54538536
"614","JD373401","HOMICIDE","N",41.768270151,-87.687443611
"615","JD341021","HOMICIDE","N",41.845592238,-87.711164533
"616","JD316691","HOMICIDE","Y",41.898846701,-87.641985392
"617","JD373100","HOMICIDE","N",41.751100797,-87.58505475
"618","JD317039","HOMICIDE","N",41.883198401,-87.739461917
"619","JD316965","HOMICIDE","N",41.793841661,-87.62020258
"620","JD316976","HOMICIDE","N",41.88359069,-87.749065012
"621","JD314196","HOMICIDE","N",41.747528541,-87.573472386
"622","JD352390","HOMICIDE","N",41.771360651,-87.657927921
"623","JD342092","HOMICIDE","Y",41.855727061,-87.726083148
"624","JD299547","HOMICIDE","Y",41.860129225,-87.712804048
"625","JD289973","HOMICIDE","N",41.819531596,-87.704420779
"626","JD281735","HOMICIDE","N",41.763769311,-87.595793934
"627","JD299850","HOMICIDE","N",41.778658948,-87.648399635
"628","JD318379","HOMICIDE","N",41.777126649,-87.645937583
"629","JD318144","HOMICIDE","Y",41.848953793,-87.732261952
"630","JD318144","HOMICIDE","Y",41.848953793,-87.732261952
"631","JE281830","HOMICIDE","N",41.780201686,-87.684889412
"632","JD301145","HOMICIDE","N",41.748458232,-87.605159961
"633","JD301071","HOMICIDE","N",41.744942862,-87.602579658
"634","JD300678","HOMICIDE","N",41.753199675,-87.65017296
"635","JD374035","HOMICIDE","N",41.972598895,-87.714350264
"636","JD373241","HOMICIDE","N",41.866181995,-87.72439822
"637","JD374011","HOMICIDE","N",41.939168558,-87.787304913
"638","JD301185","HOMICIDE","N",41.888659061,-87.749015157
"639","JD301307","HOMICIDE","N",41.858071146,-87.729819907
"640","JD301311","HOMICIDE","N",41.848312173,-87.69177748
"641","JE282655","HOMICIDE","Y",41.899249138,-87.632320575
"642","JE279937","HOMICIDE","N",41.865466585,-87.68494635
"643","JD375339","HOMICIDE","N",41.883208624,-87.686489297
"644","JD375079","HOMICIDE","N",41.873348789,-87.70833991
"645","JD320760","HOMICIDE","N",41.900777694,-87.62650376
"646","JD316246","HOMICIDE","Y",41.994277111,-87.679045937
"647","JE282993","HOMICIDE","Y",41.757630995,-87.585708249
"648","JD321726","HOMICIDE","Y",41.761857773,-87.586216316
"649","JE108294","HOMICIDE","N",41.877826291,-87.701117596
"650","JD346411","HOMICIDE","N",41.760521351,-87.681807173
"651","JD323434","HOMICIDE","N",41.786087136,-87.64737823
"652","JD323459","HOMICIDE","N",41.684231406,-87.657939326
"653","JD323387","HOMICIDE","N",42.014573171,-87.690223307
"654","JD324706","HOMICIDE","N",41.77775125,-87.657314601
"655","JD376465","HOMICIDE","Y",41.928337853,-87.691431952
"656","JD346950","HOMICIDE","N",41.783315787,-87.607251618
"657","JD376749","HOMICIDE","N",41.865201896,-87.733710449
"658","JD374810","HOMICIDE","N",41.744635441,-87.619596746
"659","JD347561","HOMICIDE","N",41.88255688,-87.730628784
"660","JD347500","HOMICIDE","N",41.745829715,-87.659679668
"661","JE281927","HOMICIDE","N",41.680760863,-87.659051873
"662","JD326228","HOMICIDE","N",41.747643677,-87.603509135
"663","JD326763","HOMICIDE","N",41.754550259,-87.601653411
"664","JD327802","HOMICIDE","Y",41.890071385,-87.627672183
"665","JD342028","HOMICIDE","N",41.863461379,-87.652374244
"666","JD348563","HOMICIDE","N",41.965541117,-87.734590597
"667","JD348586","HOMICIDE","N",41.803361324,-87.648576736
"668","JD347761","HOMICIDE","N",41.749366177,-87.5552742
"669","JD331450","HOMICIDE","Y",41.655208552,-87.605120805
"670","JD328873","HOMICIDE","N",41.89294506,-87.762554558
"671","JD347659","HOMICIDE","Y",41.704164704,-87.637897044
"672","JD377114","HOMICIDE","N",41.752419463,-87.584427413
"673","JD348693","HOMICIDE","N",41.733926594,-87.603778019
"674","JD314167","HOMICIDE","Y",41.777838294,-87.615566126
"675","JD349813","HOMICIDE","N",41.780693179,-87.654530226
"676","JD349510","HOMICIDE","N",41.791859388,-87.643880667
"677","JD331600","HOMICIDE","N",41.758120026,-87.57490513
"678","JD327976","HOMICIDE","N",41.733810054,-87.611396253
"679","JD378424","HOMICIDE","N",41.799415199,-87.633123655
"680","JD379435","HOMICIDE","N",41.72324334,-87.612968816
"681","JD331656","HOMICIDE","N",41.734830768,-87.545777246
"682","JD332674","HOMICIDE","N",41.681961586,-87.644487655
"683","JD332850","HOMICIDE","N",41.693162097,-87.651075913
"684","JD378371","HOMICIDE","N",41.750374187,-87.662006873
"685","JD350187","HOMICIDE","N",41.735948952,-87.652484512
"686","JD350149","HOMICIDE","N",41.793891658,-87.648259484
"687","JD350546","HOMICIDE","N",41.68242634,-87.680864007
"688","JD350096","HOMICIDE","N",41.741442487,-87.551504165
"689","JD379647","HOMICIDE","N",41.76718729,-87.58792132
"690","JD368438","HOMICIDE","N",41.76013186,-87.558087344
"691","JD352238","HOMICIDE","N",41.87086201,-87.714330429
"692","JD344906","HOMICIDE","Y",41.833532944,-87.685180682
"693","JD346389","HOMICIDE","Y",41.759846025,-87.637765328
"694","JD351607","HOMICIDE","N",41.856323781,-87.705385576
"695","JD379783","HOMICIDE","Y",41.886401307,-87.707492907
"696","JD381366","HOMICIDE","N",41.782501939,-87.660641563
"697","JD380448","HOMICIDE","N",41.682090833,-87.616704418
"698","JD380550","HOMICIDE","N",41.94345324,-87.693930558
"699","JD354086","HOMICIDE","N",41.682518024,-87.655453234
"700","JD381573","HOMICIDE","N",41.892395756,-87.70768047
"701","JD391209","HOMICIDE","N",41.772387484,-87.590002019
"702","JD355587","HOMICIDE","N",41.823476825,-87.705735981
"703","JD355563","HOMICIDE","N",41.758045911,-87.574902338
"704","JD354690","HOMICIDE","N",41.752100288,-87.641638343
"705","JD381639","HOMICIDE","N",41.762376533,-87.590462119
"706","JD356825","HOMICIDE","Y",41.714279197,-87.573164579
"707","JD355654","HOMICIDE","N",41.975254247,-87.656778193
"708","JD421565","HOMICIDE","Y",41.866672427,-87.651033178
"709","JD355701","HOMICIDE","Y",41.899245889,-87.758164082
"710","JD383122","HOMICIDE","N",41.889058597,-87.723464848
"711","JD382768","HOMICIDE","N",41.878860042,-87.726396631
"712","JD358322","HOMICIDE","Y",41.906797102,-87.671861659
"713","JD358313","HOMICIDE","Y",41.754153586,-87.553449904
"714","JD384100","HOMICIDE","N",41.791625396,-87.669380069
"715","JD359491","HOMICIDE","N",41.749072474,-87.557700049
"716","JD359869","HOMICIDE","N",41.742221848,-87.580680175
"717","JD359834","HOMICIDE","N",41.808677227,-87.643113485
"718","JD384035","HOMICIDE","Y",41.884804156,-87.765025079
"719","JD360370","HOMICIDE","N",41.751539633,-87.661855469
"720","JD360603","HOMICIDE","N",41.76978405,-87.659095518
"721","JD384825","HOMICIDE","N",41.761360311,-87.657908181
"722","JE146705","HOMICIDE","N",41.764106016,-87.576256836
"723","JD385787","HOMICIDE","N",41.877519174,-87.725561099
"724","JE233708","HOMICIDE","N",41.696874196,-87.543783545
"725","JD348734","HOMICIDE","Y",41.89765683,-87.726152565
"726","JD363157","HOMICIDE","N",41.90372293,-87.7337175
"727","JD386487","HOMICIDE","N",41.880713928,-87.726683874
"728","JD381362","HOMICIDE","N",41.778099133,-87.633828531
"729","JD299451","HOMICIDE","Y",41.779234929,-87.68524012
"730","JD386650","HOMICIDE","N",41.773200429,-87.680912685
"731","JE234690","HOMICIDE","N",41.88358253,-87.709430008
"732","JD388620","HOMICIDE","N",41.688120176,-87.63138461
"733","JD388899","HOMICIDE","N",41.866286618,-87.715725607
"734","JD389959","HOMICIDE","N",41.756714109,-87.586085395
"735","JD389598","HOMICIDE","N",41.969252369,-87.71461065
"736","JD390608","HOMICIDE","N",41.750992242,-87.589468327
"737","JD392220","HOMICIDE","N",41.706388821,-87.533475307
"738","JE231725","HOMICIDE","N",41.826041149,-87.670286731
"739","JD454798","HOMICIDE","N",41.732906368,-87.610831173
"740","JD464945","HOMICIDE","N",41.794957148,-87.667042665
"741","JD334802","HOMICIDE","Y",41.813626387,-87.701008346
"742","JE100022","HOMICIDE","N",41.736660376,-87.54445421
"743","JE121591","HOMICIDE","N",41.705020341,-87.651075074
"744","JD464149","HOMICIDE","N",41.87227724,-87.720319917
"745","JD438344","HOMICIDE","Y",41.710837185,-87.603976896
"746","JD468434","HOMICIDE","N",41.725266904,-87.566888138
"747","JD469460","HOMICIDE","N",41.798935876,-87.707959582
"748","JD469257","HOMICIDE","N",41.761832761,-87.592099464
"749","JE122490","HOMICIDE","N",41.953610209,-87.73161785
"750","JD469828","HOMICIDE","Y",41.793461345,-87.645135997
"751","JD469441","HOMICIDE","N",41.745827484,-87.602298459
"752","JD470337","HOMICIDE","N",41.759110016,-87.634511264
"753","JD397578","HOMICIDE","Y",41.907338322,-87.7102384
"754","JE109540","HOMICIDE","N",41.820550251,-87.699524119
"755","JD470467","HOMICIDE","N",41.743793506,-87.570980728
"756","JD395656","HOMICIDE","Y",41.80663257,-87.716397921
"757","JD470565","HOMICIDE","N",41.797819461,-87.748700513
"758","JD471236","HOMICIDE","N",41.954544066,-87.759656071
"759","JD471211","HOMICIDE","N",41.850040362,-87.670868456
"760","JE110271","HOMICIDE","N",41.750215226,-87.633075911
"761","JD472972","HOMICIDE","N",41.894860993,-87.764304185
"762","JD474021","HOMICIDE","N",41.773405326,-87.625143469
"763","JD473196","HOMICIDE","N",41.831017261,-87.676627273
"764","JD452853","HOMICIDE","Y",41.873805186,-87.694529748
"765","JE111602","HOMICIDE","N",41.677371729,-87.622635597
"766","JD358095","HOMICIDE","Y",41.884533356,-87.680056674
"767","JD379909","HOMICIDE","Y",41.884828707,-87.754011429
"768","JD474113","HOMICIDE","N",41.895637548,-87.773784621
"769","JE100162","HOMICIDE","N",41.808890677,-87.616576757
"770","JE100715","HOMICIDE","N",41.885720773,-87.747018429
"771","JE101671","HOMICIDE","N",41.858213965,-87.704772409
"772","JE124799","HOMICIDE","Y",41.830530933,-87.610277459
"773","JD302372","HOMICIDE","Y",41.888523255,-87.627164044
"774","JE102438","HOMICIDE","N",41.771062488,-87.586270811
"775","JE103492","HOMICIDE","N",41.791735461,-87.632921214
"776","JC461838","HOMICIDE","N",41.758120026,-87.57490513
"777","JE103451","HOMICIDE","N",41.870831162,-87.716247283
